# time [BJD], relative flux, relative flux error
2.458445847208429128e+06,1.017628562404148784e+00,6.898814297611200949e-03
2.458445868041589856e+06,1.005505973563009636e+00,6.884425979781012839e-03
2.458445888874749653e+06,1.022206871422009167e+00,6.894993603919588251e-03
2.458445909707908519e+06,1.008256067423290769e+00,6.888854567758196171e-03
2.458445930541066919e+06,1.019537060155720098e+00,6.892077035052523309e-03
2.458445951374224853e+06,1.007520674060565558e+00,6.887178005612652580e-03
2.458445972207381856e+06,1.019357372867024880e+00,6.899445221779096533e-03
2.458445993040538859e+06,1.019364244989421797e+00,6.887173292610444461e-03
2.458446013873694930e+06,1.024815294043584846e+00,6.896989162389567142e-03
2.458446034706850071e+06,1.016013333578291711e+00,6.888963222776728172e-03
2.458446055540004745e+06,1.000646868527753641e+00,6.883109899927969920e-03
2.458446076373159420e+06,1.009742408040467998e+00,6.886711819163363231e-03
2.458446097206312697e+06,1.016307026084301457e+00,6.892400255806175637e-03
2.458446118039465509e+06,1.004762934910848671e+00,6.878867842302532724e-03
2.458446138872617856e+06,1.011468634469695260e+00,6.885897543964276599e-03
2.458446159705769271e+06,1.013614629025457514e+00,6.888578343897356140e-03
2.458446180538920686e+06,1.016249660304054947e+00,6.890367914155379539e-03
2.458446201372071169e+06,1.023292314658967639e+00,6.893439107584282098e-03
2.458446222205220722e+06,1.011063469880031152e+00,6.882489972267076192e-03
2.458446243038370274e+06,1.011455833838849738e+00,6.887622401150070989e-03
2.458446263871518895e+06,1.015998630185974028e+00,6.890606613111903769e-03
2.458446284704666585e+06,1.022928911044147959e+00,6.896799402891401996e-03
2.458446305537813809e+06,1.017154761129772211e+00,6.886188321488870799e-03
2.458446326370960567e+06,1.018340728062836709e+00,6.892932232519247832e-03
2.458446347204106394e+06,1.035098873259390651e+00,6.893652835069344516e-03
2.458446368037252221e+06,9.930871370368828943e-01,6.876236255052447892e-03
2.458446388870397117e+06,1.021539443712554007e+00,6.885078381774194060e-03
2.458446409703541081e+06,1.008949901333357824e+00,6.886437649125991267e-03
2.458446430536684580e+06,1.025200167134572515e+00,6.892715057406456972e-03
2.458446451369827613e+06,1.017512039720744665e+00,6.883798639522934609e-03
2.458446472202969715e+06,9.967432633877375547e-01,6.879434484514989137e-03
2.458446493036111817e+06,1.017710287120226820e+00,6.893523751698638589e-03
2.458446513869252987e+06,1.011306099115396595e+00,6.886611299339839322e-03
2.458446534702393226e+06,9.979001021413471673e-01,6.879305081990685564e-03
2.458446555535533000e+06,1.007194596622615457e+00,6.886136107231766168e-03
2.458446576368672308e+06,1.008859297576337966e+00,6.878891647534031428e-03
2.458446597201810684e+06,1.028145311145395535e+00,6.893593254678399840e-03
2.458446618034948595e+06,1.031609014441259076e+00,6.894261900869691831e-03
2.458446638868086040e+06,1.009881319721866566e+00,6.887452454991719285e-03
2.458446659701222554e+06,1.006345245495606333e+00,6.884489261788844655e-03
2.458446680534358602e+06,1.021434645687456122e+00,6.890608429084895542e-03
2.458446701367494185e+06,9.932723014170079523e-01,6.873319940515553589e-03
2.458446722200628836e+06,9.930401545793908769e-01,6.875714401748371334e-03
2.458446743033763021e+06,1.013145771273567863e+00,6.883445662731080272e-03
2.458446763866896275e+06,9.866475998967595418e-01,6.876202873676655856e-03
2.458446784700029064e+06,1.015255928064896285e+00,6.889249263095075307e-03
2.458446805533161387e+06,9.881623828687017275e-01,6.864412198383623188e-03
2.458446826366293244e+06,1.005971889033743683e+00,6.878525000477292602e-03
