# time [BJD], relative flux, relative flux error
2.458425826369991992e+06,9.877842399970800935e-01,1.338419328968087907e-02
2.458425847203548066e+06,1.005742902794655613e+00,1.335856955872873932e-02
2.458425868037103675e+06,9.886592233766109405e-01,1.334496234454188475e-02
2.458425888870658353e+06,9.989250373543815398e-01,1.335652688908357637e-02
2.458425909704212099e+06,9.916674876098018343e-01,1.334337076388170118e-02
2.458425930537765846e+06,1.013385993109640282e+00,1.337212461255795140e-02
2.458425951371318195e+06,1.013981385384560729e+00,1.336042237388526330e-02
2.458425972204870079e+06,1.020581050567483050e+00,1.336860130231356733e-02
2.458425993038421031e+06,9.931771288916858564e-01,1.334945882058446824e-02
2.458426013871971983e+06,1.003822985098496323e+00,1.334595777107041789e-02
2.458426034705521539e+06,9.913954925934266305e-01,1.333897911480153541e-02
2.458426055539070629e+06,1.010023990286683215e+00,1.335430857412317138e-02
2.458426076372619253e+06,9.803842279131766979e-01,1.333841995151074586e-02
2.458426097206166945e+06,9.864055178679279612e-01,1.333982664179146627e-02
2.458426118039713707e+06,1.010808477613454492e+00,1.335274673241701113e-02
2.458426138873260003e+06,1.015057818234698539e+00,1.335626205839852802e-02
2.458426159706805833e+06,1.001190476374431260e+00,1.335488414672118471e-02
2.458426180540350266e+06,1.015063475072196741e+00,1.336434173415064312e-02
2.458426201373894699e+06,1.019035130264215550e+00,1.337207802585095237e-02
2.458426222207438201e+06,9.990621700038010422e-01,1.335788674737772332e-02
2.458426243040980771e+06,1.015839370159607347e+00,1.335442208876732456e-02
2.458426263874522876e+06,9.941296878700517370e-01,1.335477316360712818e-02
2.458426284708064515e+06,1.014600023793437833e+00,1.337301482504516317e-02
2.458426305541605223e+06,1.008152000008715410e+00,1.336437580842345964e-02
2.458426326375144999e+06,9.921592544273483139e-01,1.336231758097329927e-02
2.458426347208684310e+06,1.013836364517431088e+00,1.336836494124242838e-02
2.458426368042223155e+06,1.014750502955131806e+00,1.337942941737704956e-02
2.458426388875761069e+06,1.008258491225074049e+00,1.336562283838016105e-02
2.458426409709298518e+06,9.931806402737772821e-01,1.336310247282803884e-02
2.458426430542835034e+06,1.010499216102212161e+00,1.336853620604655513e-02
2.458426451376370620e+06,1.032725412183726821e+00,1.336782548155647683e-02
2.458426472209905740e+06,1.031250272658497114e+00,1.338236939048462540e-02
2.458426493043440394e+06,1.024156454567014318e+00,1.338664202230901989e-02
2.458426513876974117e+06,1.034806390433016698e+00,1.338719662653298573e-02
2.458426534710507374e+06,1.026157114896964373e+00,1.338914687528011509e-02
2.458426555544039700e+06,9.962610191896477119e-01,1.337664307869641973e-02
2.458426576377571560e+06,1.028876262981103018e+00,1.338674358838683014e-02
2.458426597211102489e+06,1.020630384696695980e+00,1.339232988003218397e-02
2.458426618044632953e+06,1.012027358244345976e+00,1.339302891493593037e-02
2.458426638878162485e+06,1.026741610540035543e+00,1.341137797797830981e-02
2.458426659711691551e+06,1.011007538412374895e+00,1.338722592709399271e-02
2.458426680545220152e+06,1.039981042861860772e+00,1.339978740456745747e-02
2.458426701378747821e+06,1.033427838777157159e+00,1.340451079328247239e-02
2.458426722212274559e+06,1.047984532709029137e+00,1.341002427940522768e-02
2.458426743045800831e+06,1.020608968617226608e+00,1.339089178060342417e-02
2.458426763879326638e+06,1.029829580713436776e+00,1.340858076484114335e-02
2.458426784712851513e+06,1.004528240908701964e+00,1.339549030116516694e-02
2.458426805546375923e+06,1.041878148874083587e+00,1.340652428967381224e-02
2.458426826379899401e+06,1.060917789787395371e+00,1.340937666403706208e-02
2.458426847213421948e+06,1.043131735243599811e+00,1.341744453745548349e-02
2.458426868046944495e+06,1.017100470948873792e+00,1.340380761397841521e-02
2.458426888880466111e+06,1.040967311228872871e+00,1.341766971590236876e-02
2.458426909713986795e+06,1.028159391845732573e+00,1.341135554338150800e-02
2.458426930547507014e+06,1.036507204699545381e+00,1.342558836507013603e-02
2.458426951381026767e+06,9.970670187235740611e-01,1.340167202276141764e-02
2.458426972214545589e+06,1.059588387789150543e+00,1.342799743587778753e-02
2.458426993048063479e+06,1.019396188721922947e+00,1.341246957517929460e-02
2.458427013881581370e+06,1.055878418963390519e+00,1.342566250784739748e-02
2.458427034715098329e+06,1.039020122074965746e+00,1.341289661575375408e-02
2.458427055548614357e+06,1.037692334185159160e+00,1.340432702898093804e-02
2.458427076382129919e+06,1.035793180067396291e+00,1.340744557226271512e-02
2.458427097215644550e+06,1.033855863045822776e+00,1.340710067009505749e-02
2.458427118049158715e+06,1.041399834702736449e+00,1.339848851911841672e-02
2.458427138882672414e+06,1.038711779141068492e+00,1.339766857533217920e-02
2.458427159716185182e+06,1.025801995608287109e+00,1.338699030839883564e-02
2.458427180549697485e+06,1.057372878273096894e+00,1.340740934345690215e-02
2.458427201383208856e+06,1.027432378920624556e+00,1.338639456833149929e-02
2.458427222216719761e+06,1.062791238175407660e+00,1.340467862974193541e-02
2.458427243050230201e+06,1.033540712882750734e+00,1.338435342971262300e-02
2.458427263883739710e+06,1.067830512636058993e+00,1.339987753612589989e-02
2.458427284717248753e+06,1.044945431406765213e+00,1.339745826016421754e-02
2.458427305550756864e+06,1.031365543999143153e+00,1.339140807846867474e-02
2.458427326384264510e+06,1.025343824471935061e+00,1.337691755355345166e-02
2.458427347217771225e+06,1.059237353373364110e+00,1.339278931779125034e-02
2.458427368051277474e+06,1.053991636428203815e+00,1.339343071243464557e-02
2.458427388884783257e+06,1.042468843175398785e+00,1.338820806009540475e-02
2.458427409718288574e+06,1.031884682223257910e+00,1.337624186979550871e-02
2.458427430551792495e+06,1.040300591666167840e+00,1.339636106375914106e-02
2.458427451385296416e+06,1.052203114229830927e+00,1.340084727810496312e-02
2.458427472218799405e+06,1.042167797917471050e+00,1.339123346318922547e-02
2.458427493052301928e+06,1.041816349476477388e+00,1.339912285686223163e-02
2.458427513885803521e+06,1.045392798374677801e+00,1.338745018087233833e-02
2.458427534719304647e+06,1.050887510186974350e+00,1.340001868785051405e-02
2.458427555552804843e+06,1.042846172924112969e+00,1.338250835580648106e-02
2.458427618053302635e+06,1.051877041863535256e+00,1.338338070829362889e-02
2.458427638886800036e+06,1.069254342993026352e+00,1.339335681862648987e-02
2.458427659720297437e+06,1.046518233279006393e+00,1.338392374972408386e-02
2.458427680553793907e+06,1.053794883119535841e+00,1.339239721141684616e-02
2.458427701387289912e+06,1.067836451090797167e+00,1.340600346309077373e-02
2.458427722220784985e+06,1.070531571030193918e+00,1.339771904280119899e-02
2.458427743054280058e+06,1.074241867304509324e+00,1.339540505132525219e-02
2.458427763887773734e+06,1.052918044716826707e+00,1.338499321787640049e-02
2.458427784721266944e+06,1.072454163045372111e+00,1.339264367616700355e-02
2.458427805554759689e+06,1.060978093690140067e+00,1.337539487621532998e-02
2.458427826388251968e+06,1.068738593639452672e+00,1.337447230791440761e-02
2.458427847221743315e+06,1.039695606349637425e+00,1.337287301452934514e-02
2.458427868055233732e+06,1.068582005628591958e+00,1.338503341879589137e-02
2.458427888888724148e+06,1.055436035133018979e+00,1.337520788889399494e-02
2.458427909722213633e+06,1.087685202922469951e+00,1.339900251271595837e-02
2.458427930555702653e+06,1.054535860510403822e+00,1.336787556210856757e-02
2.458427951389190741e+06,1.082895629353645139e+00,1.340162674096592905e-02
2.458427972222678363e+06,1.058827346840238270e+00,1.337511959966086218e-02
2.458427993056165054e+06,1.042389951670210868e+00,1.336831000144969930e-02
2.458428013889651280e+06,1.056979815761346808e+00,1.337696606195776759e-02
2.458428034723137505e+06,1.052327265366747255e+00,1.336973070507110548e-02
2.458428055556622334e+06,1.071801348379893382e+00,1.336847640168272768e-02
2.458428076390106697e+06,1.061361106454576264e+00,1.336899312248662069e-02
2.458428097223590594e+06,1.061860289663379309e+00,1.337244845671130278e-02
2.458428118057073560e+06,1.035636382228247721e+00,1.335106156553295641e-02
2.458428138890556060e+06,1.047982166489934031e+00,1.336371457355304236e-02
2.458428159724038094e+06,1.072374883247523725e+00,1.337605108368210630e-02
2.458428180557519197e+06,1.050075646813333652e+00,1.335136452061961784e-02
2.458428201390999835e+06,1.064484543884923085e+00,1.336478332246126069e-02
2.458428222224480007e+06,1.070464605919775103e+00,1.337295174239789240e-02
2.458428243057959247e+06,1.098125408824215166e+00,1.336843811000915441e-02
2.458428263891438022e+06,1.092576841931014453e+00,1.337819377227632799e-02
2.458428284724916331e+06,1.069239456598282345e+00,1.336337655989048266e-02
2.458428305558393709e+06,1.080165693196011079e+00,1.336894600399462889e-02
2.458428326391870622e+06,1.064830953658036261e+00,1.338006952040339710e-02
2.458428347225346602e+06,1.090039978372195906e+00,1.337759257135675596e-02
2.458428368058822118e+06,1.056557847302285191e+00,1.337312273241637352e-02
2.458428388892297633e+06,1.078069104506236942e+00,1.336911525155590370e-02
2.458428409725771751e+06,1.087582984400201846e+00,1.336954249503805731e-02
2.458428430559245404e+06,1.096355616606512706e+00,1.337494007236065055e-02
2.458428451392718591e+06,1.056236874554411731e+00,1.335349802621772428e-02
2.458428472226191312e+06,1.072232086648141625e+00,1.336035855445055591e-02
2.458428493059663102e+06,1.109506556581009828e+00,1.338771478857864704e-02
2.458428513893133961e+06,1.064141098590963619e+00,1.337053186969187207e-02
2.458428534726604819e+06,1.095741105076339261e+00,1.336544638272326932e-02
2.458428555560074747e+06,1.070551150314650091e+00,1.336214831447735986e-02
2.458428576393544208e+06,1.093772350745994437e+00,1.336644947597329276e-02
2.458428597227012739e+06,1.079857536471533264e+00,1.336941400804179253e-02
2.458428618060481269e+06,1.095874612645243662e+00,1.337041743112873764e-02
2.458428638893948402e+06,1.078237752376900005e+00,1.336780723269741233e-02
2.458428659727415536e+06,1.089537918487698098e+00,1.337897585556813325e-02
2.458428680560881738e+06,1.075249617336180741e+00,1.335464831897264018e-02
2.458428701394347474e+06,1.073191298081598744e+00,1.336180434626071944e-02
2.458428722227812279e+06,1.088218032766097521e+00,1.337536514118334297e-02
2.458428743061276618e+06,1.094667217834159434e+00,1.335978462689560442e-02
2.458428763894740958e+06,1.087228829328765300e+00,1.336565897279084168e-02
2.458428784728203900e+06,1.113802244693210541e+00,1.337341002595986497e-02
2.458428805561666377e+06,1.095312900050979588e+00,1.337151525416217443e-02
2.458428826395128388e+06,1.109426676256114019e+00,1.337417580011062909e-02
2.458428847228589933e+06,1.078593655221783632e+00,1.336448361104310666e-02
2.458428868062050547e+06,1.095248177956519076e+00,1.336671396883410377e-02
2.458428888895510696e+06,1.089463422974617401e+00,1.335907141195774930e-02
2.458428909728969913e+06,1.108941820787648025e+00,1.337338245613380397e-02
2.458428930562429130e+06,1.079363184827839106e+00,1.336159441197428029e-02
2.458428951395886950e+06,1.118697826775462145e+00,1.337933531308561561e-02
